"date","SPY"
1999-08-01,82.9993743896484
1999-09-01,81.145393371582
1999-10-01,86.3450088500977
1999-11-01,87.7827835083008
1999-12-01,92.7959365844727
2000-01-01,88.1759338378906
2000-02-01,86.8333740234375
2000-03-01,95.2487640380859
2000-04-01,91.9035415649414
2000-05-01,90.4586486816406
2000-06-01,92.2389755249023
2000-07-01,90.790657043457
2000-08-01,96.7230072021484
2000-09-01,91.4165496826172
2000-10-01,90.9888916015625
2000-11-01,84.1963348388672
2000-12-01,83.7562713623047
2001-01-01,87.4800109863281
2001-02-01,79.135498046875
2001-03-01,74.700927734375
2001-04-01,81.0834350585938
2001-05-01,80.6288909912109
2001-06-01,78.7075424194336
2001-07-01,77.9050827026367
2001-08-01,73.2827835083008
2001-09-01,67.3006591796875
2001-10-01,68.1770706176758
2001-11-01,73.4933090209961
2001-12-01,73.9077606201172
2002-01-01,73.1835708618164
2002-02-01,71.8709411621094
2002-03-01,74.2621154785156
2002-04-01,69.9433670043945
2002-05-01,69.5283508300781
2002-06-01,64.3966293334961
2002-07-01,59.3208999633789
2002-08-01,59.7243881225586
2002-09-01,53.4621353149414
2002-10-01,57.8611755371094
2002-11-01,61.4301681518555
2002-12-01,57.9550285339355
2003-01-01,56.5296630859375
2003-02-01,55.767707824707
2003-03-01,55.8869895935059
2003-04-01,60.6157341003418
2003-05-01,63.9396476745605
2003-06-01,64.6207122802734
2003-07-01,65.7856674194336
2003-08-01,67.1425552368164
2003-09-01,66.4102783203125
2003-10-01,69.9650039672852
2003-11-01,70.7290802001953
2003-12-01,74.2876892089844
2004-01-01,75.7563323974609
2004-02-01,76.7843933105469
2004-03-01,75.7673797607422
2004-04-01,74.3337097167969
2004-05-01,75.6065444946289
2004-06-01,77.0053939819336
2004-07-01,74.5243682861328
2004-08-01,74.7058868408203
2004-09-01,75.4557342529297
2004-10-01,76.4279632568359
2004-11-01,79.8303527832031
2004-12-01,82.2349166870117
2005-01-01,80.3911666870117
2005-02-01,82.0716247558594
2005-03-01,80.5703277587891
2005-04-01,79.0607986450195
2005-05-01,81.6085586547852
2005-06-01,81.732177734375
2005-07-01,84.8593521118164
2005-08-01,84.063835144043
2005-09-01,84.7384719848633
2005-10-01,82.7343444824219
2005-11-01,86.370719909668
2005-12-01,86.205451965332
2006-01-01,88.2756042480469
2006-02-01,88.781005859375
2006-03-01,90.246208190918
2006-04-01,91.3862152099609
2006-05-01,88.6335906982422
2006-06-01,88.8647689819336
2006-07-01,89.2627182006836
2006-08-01,91.2106475830078
2006-09-01,93.6735076904297
2006-10-01,96.6257858276367
2006-11-01,98.5472183227539
2006-12-01,99.8649215698242
2007-01-01,101.366882324219
2007-02-01,99.3783798217773
2007-03-01,100.530006408691
2007-04-01,104.983070373535
2007-05-01,108.544158935547
2007-06-01,106.957092285156
2007-07-01,103.608283996582
2007-08-01,104.937889099121
2007-09-01,109.000442504883
2007-10-01,110.479225158691
2007-11-01,106.200103759766
2007-12-01,105.00422668457
2008-01-01,98.6555480957031
2008-02-01,96.1060104370117
2008-03-01,95.2466278076172
2008-04-01,99.7863235473633
2008-05-01,101.294692993164
2008-06-01,92.8289337158203
2008-07-01,91.9947357177734
2008-08-01,93.4164199829102
2008-09-01,84.6190872192383
2008-10-01,70.6411285400391
2008-11-01,65.7240371704102
2008-12-01,66.3678970336914
2009-01-01,60.9181518554688
2009-02-01,54.37255859375
2009-03-01,58.9023780822754
2009-04-01,64.7540740966797
2009-05-01,68.539192199707
2009-06-01,68.4942932128906
2009-07-01,73.6043930053711
2009-08-01,76.3232727050781
2009-09-01,79.0295028686523
2009-10-01,77.510124206543
2009-11-01,82.2852783203125
2009-12-01,83.8570022583008
2010-01-01,80.8094329833984
2010-02-01,83.3302764892578
2010-03-01,88.4033737182617
2010-04-01,89.7710113525391
2010-05-01,82.6382751464844
2010-06-01,78.3624877929688
2010-07-01,83.7146759033203
2010-08-01,79.9491653442383
2010-09-01,87.1089706420898
2010-10-01,90.4367523193359
2010-11-01,90.4367523193359
2010-12-01,96.4826431274414
2011-01-01,98.7307052612305
2011-02-01,102.160331726074
2011-03-01,102.172622680664
2011-04-01,105.131690979004
2011-05-01,103.952705383301
2011-06-01,102.199012756348
2011-07-01,100.154594421387
2011-08-01,94.6485214233398
2011-09-01,88.0779647827148
2011-10-01,97.69140625
2011-11-01,97.2944030761719
2011-12-01,98.3109893798828
2012-01-01,102.870094299316
2012-02-01,107.33521270752
2012-03-01,110.787536621094
2012-04-01,110.047973632812
2012-05-01,103.438934326172
2012-06-01,107.636604309082
2012-07-01,108.909912109375
2012-08-01,111.638366699219
2012-09-01,114.468536376953
2012-10-01,112.385391235352
2012-11-01,113.021461486816
2012-12-01,114.031234741211
2013-01-01,119.868515014648
2013-02-01,121.397888183594
2013-03-01,126.00757598877
2013-04-01,128.428436279297
2013-05-01,131.460586547852
2013-06-01,129.706268310547
2013-07-01,136.409072875977
2013-08-01,132.317886352539
2013-09-01,136.505279541016
2013-10-01,142.82649230957
2013-11-01,147.059432983398
2013-12-01,150.872192382812
2014-01-01,145.554244995117
2014-02-01,152.17919921875
2014-03-01,153.441558837891
2014-04-01,154.508285522461
2014-05-01,158.093795776367
2014-06-01,161.357696533203
2014-07-01,159.189407348633
2014-08-01,165.471572875977
2014-09-01,163.188659667969
2014-10-01,167.031982421875
2014-11-01,171.620635986328
2014-12-01,171.185272216797
2015-01-01,166.113204956055
2015-02-01,175.44953918457
2015-03-01,172.69401550293
2015-04-01,174.392242431641
2015-05-01,176.634262084961
2015-06-01,173.046447753906
