"date","BND"
2014-09-01,59.6116561889648
2014-10-01,60.0425071716309
2014-11-01,60.5415153503418
2014-12-01,60.5758781433105
2015-01-01,62.0320014953613
2015-02-01,61.2214393615723
2015-03-01,61.5551528930664
2015-04-01,61.3560829162598
2015-05-01,61.0513381958008
2015-06-01,60.3722915649414
2015-07-01,60.9030609130859
2015-08-01,60.7531471252441
2015-09-01,61.2449951171875
2015-10-01,61.2629737854004
2015-11-01,61.022045135498
2015-12-01,60.9145469665527
2016-01-01,61.6462173461914
2016-02-01,62.1707572937012
2016-03-01,62.7198753356934
2016-04-01,62.9726333618164
2016-05-01,62.9680786132812
2016-06-01,64.2398986816406
2016-07-01,64.6247329711914
2016-08-01,64.4219665527344
2016-09-01,64.4955978393555
2016-10-01,63.8896560668945
2016-11-01,62.2451972961426
2016-12-01,62.4505081176758
2017-01-01,62.5664672851562
2017-02-01,62.9522552490234
2017-03-01,62.9274291992188
2017-04-01,63.4282875061035
2017-05-01,63.8787612915039
2017-06-01,63.9115676879883
2017-07-01,64.3029556274414
2017-08-01,64.9896697998047
2017-09-01,64.6850509643555
2017-10-01,64.6676483154297
2017-11-01,64.5987319946289
2017-12-01,64.9481506347656
2018-01-01,64.1439895629883
2018-02-01,63.4792976379395
2018-03-01,63.915096282959
2018-04-01,63.3699798583984
2018-05-01,63.8022308349609
2018-06-01,63.9225234985352
2018-07-01,63.8990249633789
2018-08-01,64.3264312744141
2018-09-01,63.9752655029297
2018-10-01,63.4236450195312
2018-11-01,63.8271484375
2018-12-01,65.0235137939453
2019-01-01,65.7458419799805
2019-02-01,65.6866683959961
2019-03-01,66.9601898193359
2019-04-01,66.9436111450195
2019-05-01,68.1662521362305
2019-06-01,69.0161666870117
2019-07-01,69.1194152832031
2019-08-01,71.0334091186523
2019-09-01,70.6301803588867
2019-10-01,70.849853515625
2019-11-01,70.820442199707
2019-12-01,70.7675704956055
2020-01-01,72.1684112548828
2020-02-01,73.3718566894531
2020-03-01,72.3236236572266
2020-04-01,74.3194122314453
2020-05-01,74.8163833618164
2020-06-01,75.3185577392578
2020-07-01,76.4136047363281
2020-08-01,75.6939544677734
2020-09-01,75.6193771362305
2020-10-01,75.1986846923828
2020-11-01,76.1112289428711
2020-12-01,76.2273559570312
2021-01-01,75.570426940918
2021-02-01,74.4008483886719
2021-03-01,73.4549026489258
2021-04-01,74.0909957885742
2021-05-01,74.2050094604492
2021-06-01,74.8709869384766
2021-07-01,75.7458114624023
2021-08-01,75.6023788452148
2021-09-01,74.836051940918
2021-10-01,74.8886947631836
2021-11-01,75.0415725708008
2021-12-01,74.8086776733398
2022-01-01,73.2639846801758
2022-02-01,72.4301910400391
2022-03-01,70.4368209838867
2022-04-01,67.6386032104492
2022-05-01,68.1998291015625
2022-06-01,67.0663146972656
2022-07-01,68.663688659668
2022-08-01,66.7428131103516
2022-09-01,63.9509773254395
2022-10-01,63.2105674743652
2022-11-01,65.5278472900391
2022-12-01,64.9996566772461
2023-01-01,67.1530227661133
2023-02-01,65.3627319335938
2023-03-01,67.1116714477539
2023-04-01,67.5062408447266
2023-05-01,66.7206192016602
2023-06-01,66.5713577270508
2023-07-01,66.4923934936523
2023-08-01,66.0532684326172
2023-09-01,64.4156341552734
2023-10-01,63.4362831115723
2023-11-01,66.3171844482422
2023-12-01,68.6749572753906
2024-01-01,68.5629196166992
2024-02-01,67.6283645629883
2024-03-01,68.2030639648438
2024-04-01,66.5604782104492
2024-05-01,67.6790008544922
2024-06-01,68.2750549316406
2024-07-01,69.8823852539062
2024-08-01,70.896842956543
2024-09-01,71.8302154541016
2024-10-01,70.0663299560547
2024-11-01,70.8148727416992
2024-12-01,69.6244812011719
2025-01-01,70.0408172607422
2025-02-01,71.5513000488281
2025-03-01,71.5600738525391
2025-04-01,71.8435363769531
2025-05-01,71.3591156005859
2025-06-01,72.4413528442383
2025-07-01,72.2488861083984
2025-08-01,73.0827102661133
